"","Features","L1","varL1","L2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"4576","ThreeMonthBefore+NumTweets_Month1_Log+NumVerifiedTweets_Month1_Log+NumTweets_Month2_Log+NumVerifiedTweets_Month2_Log+NumTweets_Week1_Log+NumVerifiedTweets_Week1_Log","53.8769644436901","1271.89547939818","63.7858251268648","4","2","7","7","-21.9123870907687","-13.3912618827055","174.201163173424"
"4577","ThreeMonthBefore+NumTweets_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumTweets_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta+NumTweets_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta","65.4953280203884","1433.70436223112","74.8589806984448","4","2","7","7","-39.2456724581862","-28.3820232006249","142.536669722028"
"4578","ThreeMonthBefore+NumTweets_Week2_Log+NumVerifiedTweets_Week2_Log","51.3335716264775","1305.97017813114","61.9053705738383","4","3","7","7","-21.1038760135533","-16.0176483952657","180.391795095166"
"4579","ThreeMonthBefore+NumTweets_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","68.4347486836239","1668.39294368419","78.8205241404035","4","2","7","7","-39.5047668387589","-23.8661513226376","149.598957200825"
"4580","ThreeMonthBefore+NumTweets_Week2_Log+NumVerifiedTweets_Week2_Log+NumTweets_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","54.297755738236","1229.21574041501","63.8359410801593","4","2","7","7","-23.7956275317842","-18.581320925112","181.093446846864"
"4581","ThreeMonthBefore+NumTweets_Month1_Log+NumVerifiedTweets_Month1_Log+NumTweets_Week2_Log+NumVerifiedTweets_Week2_Log","50.9243635662625","1305.39234066212","61.5621673614228","5","2","8","7","-12.2191095944557","-5.67770193184146","181.234765683865"
"4582","ThreeMonthBefore+NumTweets_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumTweets_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","68.5131689706333","1647.62655489198","78.7678783793424","4","2","7","7","-39.7752408150944","-24.1857684970553","150.594317534435"
"4583","ThreeMonthBefore+NumTweets_Month1_Log+NumVerifiedTweets_Month1_Log+NumTweets_Week2_Log+NumVerifiedTweets_Week2_Log+NumTweets_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumTweets_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","49.5029322989126","1529.53358740178","62.069418889732","6","5","8","8","-4.85834313137359","-1.92645470491836","187.963784149483"
"4584","ThreeMonthBefore+NumTweets_Month2_Log+NumVerifiedTweets_Month2_Log+NumTweets_Week2_Log+NumVerifiedTweets_Week2_Log","53.7495231571219","1251.2424766439","63.5293909137723","4","2","7","7","-16.3191954057905","-2.39149641033113","180.317775687582"
"4585","ThreeMonthBefore+NumTweets_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta+NumTweets_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","68.1434356145208","1596.45601637198","78.1469502434867","4","2","7","7","-39.8104467200829","-25.3797046904507","150.490104806039"
"4586","ThreeMonthBefore+NumTweets_Month2_Log+NumVerifiedTweets_Month2_Log+NumTweets_Week2_Log+NumVerifiedTweets_Week2_Log+NumTweets_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta+NumTweets_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","54.5199922773102","1381.30396128676","65.1047222232317","4","3","7","7","-20.9774332638355","-21.043325301802","182.81454190655"
"4587","ThreeMonthBefore+NumTweets_Month1_Log+NumVerifiedTweets_Month1_Log+NumTweets_Month2_Log+NumVerifiedTweets_Month2_Log+NumTweets_Week2_Log+NumVerifiedTweets_Week2_Log","51.2736506221138","1257.63068781362","61.4964663912847","5","3","8","7","-13.4049881724849","-6.2042617051596","182.599064349057"
"4588","ThreeMonthBefore+NumTweets_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumTweets_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta+NumTweets_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","68.3387122957298","1557.60262281801","78.0895767851791","4","2","7","7","-40.0926507108509","-26.0080988260478","151.79478753922"
"4589","ThreeMonthBefore+NumTweets_Week1_Log+NumVerifiedTweets_Week1_Log+NumTweets_Week2_Log+NumVerifiedTweets_Week2_Log","51.4854846170164","1285.57502888366","61.8805211898358","4","2","7","7","-19.4861481178078","-13.4911855569978","181.519111670524"
"4590","ThreeMonthBefore+NumTweets_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta+NumTweets_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","68.318061129433","1721.20582570247","79.0261316488342","4","2","7","7","-38.1746738353588","-23.5384520252779","149.35963603608"
"4591","ThreeMonthBefore+NumTweets_Week1_Log+NumVerifiedTweets_Week1_Log+NumTweets_Week2_Log+NumVerifiedTweets_Week2_Log+NumTweets_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta+NumTweets_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","54.4031132356443","1478.40487494763","65.6879227745278","5","3","8","7","-20.1799680307456","-21.774836563688","181.646760367107"
