"","Features","L1","L2","Win1","Win2","WeightedWin1","WeightedWin2","Prediction"
"3041","NumDistinctTweets_Month1_Absolute+NumPopularTweets_Month1_Absolute+NumVerifiedTweets_Month1_Absolute","45.3495698840367","56.4039995378496","7","6","8","7","266.841297195248"
"3042","NumDistinctTweets_Month1_Log+NumPopularTweets_Month1_Log+NumVerifiedTweets_Month1_Log","60.2149807443325","69.2959259150475","5","2","7","7","192.974592983297"
"3043","NumDistinctTweets_Month1_Absolute+NumPopularTweets_Month1_Absolute+NumVerifiedTweets_Month1_Absolute+NumDistinctTweets_Month1_Log+NumPopularTweets_Month1_Log+NumVerifiedTweets_Month1_Log","54.6362097090939","67.2946363216098","4","4","6","5","286.328212604517"
"3044","NumDistinctTweets_Month1_Delta+NumPopularTweets_Month1_Delta+NumVerifiedTweets_Month1_Delta","60.4255870040793","71.2243390175883","4","3","5","7","148.094420098664"
"3045","NumDistinctTweets_Month1_Absolute+NumPopularTweets_Month1_Absolute+NumVerifiedTweets_Month1_Absolute+NumDistinctTweets_Month1_Delta+NumPopularTweets_Month1_Delta+NumVerifiedTweets_Month1_Delta","55.0000335294443","62.3661594905335","5","4","6","5","251.746096945269"
"3046","NumDistinctTweets_Month1_Log+NumPopularTweets_Month1_Log+NumVerifiedTweets_Month1_Log+NumDistinctTweets_Month1_Delta+NumPopularTweets_Month1_Delta+NumVerifiedTweets_Month1_Delta","59.521496717297","71.4257975942747","4","4","5","7","172.283998995876"
"3047","NumDistinctTweets_Month1_LogDelta+NumPopularTweets_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta","62.406498370695","74.5054550075781","4","3","7","7","155.879296779093"
"3048","NumDistinctTweets_Month1_Absolute+NumPopularTweets_Month1_Absolute+NumVerifiedTweets_Month1_Absolute+NumDistinctTweets_Month1_LogDelta+NumPopularTweets_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta","49.5132961058306","58.6979552457518","5","5","6","6","265.762995339133"
"3049","NumDistinctTweets_Month1_Log+NumPopularTweets_Month1_Log+NumVerifiedTweets_Month1_Log+NumDistinctTweets_Month1_LogDelta+NumPopularTweets_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta","62.9024070688021","71.9705324533205","4","2","6","7","191.360869365659"
"3050","NumDistinctTweets_Month1_Delta+NumPopularTweets_Month1_Delta+NumVerifiedTweets_Month1_Delta+NumDistinctTweets_Month1_LogDelta+NumPopularTweets_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta","60.3725363334096","71.2637831537544","4","4","5","7","145.881512920834"
"3051","NumDistinctTweets_Month2_Absolute+NumPopularTweets_Month2_Absolute+NumVerifiedTweets_Month2_Absolute","51.2201318143912","63.6889750167074","6","3","8","7","246.489554434532"
"3052","NumDistinctTweets_Month2_Log+NumPopularTweets_Month2_Log+NumVerifiedTweets_Month2_Log","63.4602100241417","72.8154545712389","4","2","7","7","177.85976837465"
"3053","NumDistinctTweets_Month2_Absolute+NumPopularTweets_Month2_Absolute+NumVerifiedTweets_Month2_Absolute+NumDistinctTweets_Month2_Log+NumPopularTweets_Month2_Log+NumVerifiedTweets_Month2_Log","49.9951364956577","67.9525408373549","5","5","6","6","287.236909220853"
"3054","NumDistinctTweets_Month2_Delta+NumPopularTweets_Month2_Delta+NumVerifiedTweets_Month2_Delta","72.7830509915067","78.8926266768861","3","2","7","7","142.103644736444"
"3055","NumDistinctTweets_Month2_Absolute+NumPopularTweets_Month2_Absolute+NumVerifiedTweets_Month2_Absolute+NumDistinctTweets_Month2_Delta+NumPopularTweets_Month2_Delta+NumVerifiedTweets_Month2_Delta","48.8313828264435","62.528203727182","5","4","7","7","235.062206597719"
"3056","NumDistinctTweets_Month2_Log+NumPopularTweets_Month2_Log+NumVerifiedTweets_Month2_Log+NumDistinctTweets_Month2_Delta+NumPopularTweets_Month2_Delta+NumVerifiedTweets_Month2_Delta","69.4628416581752","74.0600665461703","2","2","6","7","160.456040326705"
"3057","NumDistinctTweets_Month2_LogDelta+NumPopularTweets_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta","65.3197021163659","74.6294753515621","4","2","7","7","152.278204646622"
"3058","NumDistinctTweets_Month2_Absolute+NumPopularTweets_Month2_Absolute+NumVerifiedTweets_Month2_Absolute+NumDistinctTweets_Month2_LogDelta+NumPopularTweets_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta","52.549273081965","63.9584291462507","6","5","8","7","253.611848898797"
"3059","NumDistinctTweets_Month2_Log+NumPopularTweets_Month2_Log+NumVerifiedTweets_Month2_Log+NumDistinctTweets_Month2_LogDelta+NumPopularTweets_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta","64.6775474388636","72.5391929666577","2","2","6","7","185.263644869343"
"3060","NumDistinctTweets_Month2_Delta+NumPopularTweets_Month2_Delta+NumVerifiedTweets_Month2_Delta+NumDistinctTweets_Month2_LogDelta+NumPopularTweets_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta","69.5732760021019","77.6863198010479","3","2","6","7","151.025562879346"
"3061","NumDistinctTweets_Month1_Absolute+NumPopularTweets_Month1_Absolute+NumVerifiedTweets_Month1_Absolute+NumDistinctTweets_Month2_Absolute+NumPopularTweets_Month2_Absolute+NumVerifiedTweets_Month2_Absolute","55.2081163123515","62.9700356227887","5","4","6","5","253.322847435133"
"3062","NumDistinctTweets_Month1_Log+NumPopularTweets_Month1_Log+NumVerifiedTweets_Month1_Log+NumDistinctTweets_Month2_Log+NumPopularTweets_Month2_Log+NumVerifiedTweets_Month2_Log","62.6902490870449","71.8970367148437","4","2","6","7","191.241875377635"
"3063","NumDistinctTweets_Month1_Delta+NumPopularTweets_Month1_Delta+NumVerifiedTweets_Month1_Delta+NumDistinctTweets_Month2_Delta+NumPopularTweets_Month2_Delta+NumVerifiedTweets_Month2_Delta","64.6512638904048","73.6775023093134","3","4","5","7","159.215819299575"
"3064","NumDistinctTweets_Month1_LogDelta+NumPopularTweets_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumDistinctTweets_Month2_LogDelta+NumPopularTweets_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta","65.1581157216301","75.2105889526549","4","2","7","7","156.594429814982"
"3065","NumDistinctTweets_Week1_Absolute+NumPopularTweets_Week1_Absolute+NumVerifiedTweets_Week1_Absolute","47.9512107738489","60.9473306726977","5","4","6","5","295.284980109867"
"3066","NumDistinctTweets_Week1_Log+NumPopularTweets_Week1_Log+NumVerifiedTweets_Week1_Log","54.3857602495932","65.6928714327621","5","3","8","7","178.21600013108"
"3067","NumDistinctTweets_Week1_Absolute+NumPopularTweets_Week1_Absolute+NumVerifiedTweets_Week1_Absolute+NumDistinctTweets_Week1_Log+NumPopularTweets_Week1_Log+NumVerifiedTweets_Week1_Log","70.3196511797809","85.6189192068585","5","2","7","4","339.013882595408"
"3068","NumDistinctTweets_Week1_Delta+NumPopularTweets_Week1_Delta+NumVerifiedTweets_Week1_Delta","68.1688033235345","78.8988746752315","3","3","5","7","204.047398896636"
"3069","NumDistinctTweets_Week1_Absolute+NumPopularTweets_Week1_Absolute+NumVerifiedTweets_Week1_Absolute+NumDistinctTweets_Week1_Delta+NumPopularTweets_Week1_Delta+NumVerifiedTweets_Week1_Delta","55.785615460284","67.7566443227262","5","4","6","5","316.471331432781"
"3070","NumDistinctTweets_Week1_Log+NumPopularTweets_Week1_Log+NumVerifiedTweets_Week1_Log+NumDistinctTweets_Week1_Delta+NumPopularTweets_Week1_Delta+NumVerifiedTweets_Week1_Delta","62.9859590383973","72.7982816694712","4","3","6","7","206.916221960378"
"3071","NumDistinctTweets_Week1_LogDelta+NumPopularTweets_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta","63.7123607173721","75.2375979451424","4","2","7","7","153.898991273234"
"3072","NumDistinctTweets_Week1_Absolute+NumPopularTweets_Week1_Absolute+NumVerifiedTweets_Week1_Absolute+NumDistinctTweets_Week1_LogDelta+NumPopularTweets_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta","51.0130902808442","64.1416836896257","5","4","6","5","297.643660604231"
"3073","NumDistinctTweets_Week1_Log+NumPopularTweets_Week1_Log+NumVerifiedTweets_Week1_Log+NumDistinctTweets_Week1_LogDelta+NumPopularTweets_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta","52.6112733558939","65.0843332673662","5","5","7","7","174.54408599191"
