,Features,L1,L2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
6121,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumDistinctUsers_Month2_Log+NumDistinctUsers_Week2_Log+NumDistinctUsers_Month1_LogDelta+NumDistinctUsers_Month2_LogDelta+NumDistinctUsers_Week2_LogDelta,52.73048521,63.98194214,4,5,6,8,-11.14154201,-6.227035035,244.2315116
6122,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Week1_Log+NumDistinctUsers_Week2_Log,61.29603647,70.08841279,4,2,7,7,-30.46323929,-17.18814293,184.4789256
6123,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Week1_LogDelta+NumDistinctUsers_Week2_LogDelta,65.43609346,74.89352351,4,2,7,7,-36.66020185,-25.32898842,180.2000006
6124,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Week1_Log+NumDistinctUsers_Week2_Log+NumDistinctUsers_Week1_LogDelta+NumDistinctUsers_Week2_LogDelta,60.46853996,71.39810997,5,3,8,7,-27.44320131,-22.84176156,179.3408673
6125,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumDistinctUsers_Week1_Log+NumDistinctUsers_Week2_Log,50.9987189,61.54895439,5,3,7,7,-13.44628091,-4.098367205,205.040649
6126,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_LogDelta+NumDistinctUsers_Week1_LogDelta+NumDistinctUsers_Week2_LogDelta,64.38738452,71.11814196,3,3,7,7,-34.61634662,-24.35480382,213.2371751
6127,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumDistinctUsers_Week1_Log+NumDistinctUsers_Week2_Log+NumDistinctUsers_Month1_LogDelta+NumDistinctUsers_Week1_LogDelta+NumDistinctUsers_Week2_LogDelta,52.38894369,60.34499945,5,3,7,7,-16.0371008,-14.42136779,230.2829532
6128,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month2_Log+NumDistinctUsers_Week1_Log+NumDistinctUsers_Week2_Log,62.05982599,70.63045789,4,2,7,7,-31.13236573,-19.73369982,184.6485547
6129,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month2_LogDelta+NumDistinctUsers_Week1_LogDelta+NumDistinctUsers_Week2_LogDelta,64.53756607,73.78428517,4,2,7,7,-35.7769323,-22.69480744,185.9737318
6130,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month2_Log+NumDistinctUsers_Week1_Log+NumDistinctUsers_Week2_Log+NumDistinctUsers_Month2_LogDelta+NumDistinctUsers_Week1_LogDelta+NumDistinctUsers_Week2_LogDelta,60.97091367,70.03105865,5,2,8,7,-29.60333793,-24.9374027,190.6756048
6131,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumDistinctUsers_Month2_Log+NumDistinctUsers_Week1_Log+NumDistinctUsers_Week2_Log,51.21543752,59.74060017,5,4,7,7,-14.34554832,-10.77378219,233.0965253
