Date,Consensus,DeltaConsensus
11/11/2005,324,-2
11/18/2005,312,9
11/25/2005,325,-10
12/2/2005,318,-2
12/9/2005,320,-7
12/16/2005,325,-4
12/23/2005,320,2
12/30/2005,320,-2
1/6/2006,315,24
1/13/2006,315,6
1/20/2006,300,29
1/27/2006,295,12
2/3/2006,285,12
2/10/2006,285,8
2/17/2006,300,3
2/24/2006,285,7
3/3/2006,290,-4
3/10/2006,298,-5
3/17/2006,305,-4
3/24/2006,305,3
3/31/2006,305,3
4/7/2006,305,6
4/14/2006,309,-4
4/21/2006,305,2
4/28/2006,310,-5
5/5/2006,315,-7
5/12/2006,319,-5
5/19/2006,315,-52
5/26/2006,320,-9
6/2/2006,330,-6
6/9/2006,320,18
6/16/2006,306,11
6/23/2006,310,2
6/30/2006,315,2
7/7/2006,320,7
7/14/2006,320,-12
7/21/2006,310,6
7/28/2006,308,10
8/4/2006,315,0
8/11/2006,315,-4
8/18/2006,315,3
8/25/2006,315,2
9/1/2006,315,-1
9/8/2006,315,5
9/15/2006,310,2
9/22/2006,315,-3
9/29/2006,315,-1
10/6/2006,311,9
10/13/2006,310,2
10/20/2006,307,8
10/27/2006,310,2
11/3/2006,318,-9
11/10/2006,311,3
11/17/2006,310,2
11/24/2006,315,-6
12/1/2006,325,-32
12/8/2006,320,-4
12/15/2006,315,11
12/22/2006,320,5
12/29/2006,320,3
1/5/2007,320,-9
1/12/2007,314,15
1/19/2007,310,20
1/26/2007,315,-10
2/2/2007,312,5
2/9/2007,314,3
2/16/2007,325,-32
2/23/2007,325,-7
3/2/2007,330,-8
3/9/2007,327.5,-0.5
3/16/2007,323,5
3/23/2007,320,4
3/30/2007,315,7
4/6/2007,320,-1
4/13/2007,320,-22
4/20/2007,330,-9
4/27/2007,325,4
5/4/2007,315,10
5/11/2007,315,18
5/18/2007,305,12
5/25/2007,314,3
6/1/2007,312,2
6/8/2007,312,3
6/15/2007,311,0
6/22/2007,315,-9
6/29/2007,315,2
7/6/2007,315,-3
7/13/2007,310.5,2.5
7/20/2007,310,9
7/27/2007,310,9
8/3/2007,310,3
8/10/2007,315,-1
8/17/2007,320,-2
8/24/2007,320,-2
8/31/2007,330,-4
9/7/2007,325,7
9/14/2007,320.5,1.5
9/21/2007,316,5
9/28/2007,310,12
10/5/2007,315,-2
10/12/2007,312,4
10/19/2007,320,-17
10/26/2007,330,-1
11/2/2007,325,-2
11/9/2007,320,3
11/16/2007,330,-9
11/23/2007,330,0
11/30/2007,335,-17
12/7/2007,335,-3
12/14/2007,335,2
12/21/2007,340,-6
12/28/2007,345,-4
1/4/2008,340,4
1/11/2008,331,9
1/18/2008,320,19
1/25/2008,319,18
2/1/2008,342,-33
2/8/2008,346.5,-9.5
2/15/2008,349,1
2/22/2008,350,1
2/29/2008,360,-13
3/7/2008,357,6
3/14/2008,360,7
3/21/2008,370,-8
3/28/2008,366,0
4/4/2008,382.5,-24.5
4/11/2008,375,18
4/18/2008,375,3
4/25/2008,365,23
5/2/2008,370,-10
5/9/2008,370,5
5/16/2008,373,2
5/23/2008,370,5
5/30/2008,375,3
6/6/2008,370,13
6/13/2008,375,-9
6/20/2008,375,-6
6/27/2008,385,1
7/4/2008,395,-9
7/11/2008,380,34
7/18/2008,380,14
7/25/2008,392.5,-13.5
8/1/2008,425,-23
8/8/2008,435,-20
8/15/2008,440,-10
8/22/2008,425,-7
