"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","L1_conf","medianL1_conf","L2_conf","medianL2_conf","Win1_conf","Win2_conf","DirectionalWin1_conf","DirectionalWin2_conf","WeightedWin1_conf","WeightedWin2_conf"
"5249",5249,"IJC+NumTweets_Week2_posting_Absolute+NumPopularTweets_Week2_posting_Absolute+NumTweets_Week2_posting_AbsoluteDelta+NumPopularTweets_Week2_posting_AbsoluteDelta",49.1939310681008,41.5826850634339,61.8739848030878,42.7849012467522,5,5,6,7,-1.43931068100795,87.8521365746301,6.39295387504157,2.93072395773707,7.26208810279577,3.44269199109119,1,0,0,0,43.212900770751,36.8978441824535
"5275",5275,"IJC+NumTweets_Month1_hiring_Absolute+NumPopularTweets_Month1_hiring_Absolute+NumTweets_Week2_hiring_Absolute+NumPopularTweets_Week2_hiring_Absolute",49.1859406639092,42.5079817907024,61.476336152811,42.5711868307639,5,6,6,7,-42.1318018403156,142.354842077015,7.20370830796011,7.08295849381525,7.85017211885411,7.57210430578184,0,0,0,1,29.7686537967428,108.976038428027
"5281",5281,"IJC+NumTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Month1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",46.4563233630252,38.9416265120713,53.8857814523461,39.5612016374844,5,5,6,7,-75.8687905361098,187.153627465616,8.745051452496,8.23435692010948,6.61509030870505,11.9037192462843,1,0,0,1,85.3673021769555,81.3063446881936
"5362",5362,"IJC+NumVerifiedTweets_Month1_opening_Absolute",46.2487638771249,35.8269317757077,58.91169780019,36.5451586688716,5,6,6,7,-0.994289013240845,113.618162388301,4.74689980577958,9.40882178205781,5.02384843911867,8.47943326302665,1,0,1,0,29.8872547001672,74.7641717825134
"5366",5366,"IJC+NumVerifiedTweets_Month1_posting_Absolute",45.6374877709412,38.6117828416365,58.5192022896084,38.6891591436475,5,5.5,6,7,22.6547286984882,118.798802791932,4.38889053382838,6.30976227186713,4.66940234694366,5.26687020919173,0,1,1,0,32.6390925653276,74.6226431812119
"5373",5373,"IJC+NumVerifiedTweets_Month1_allold_Absolute+NumVerifiedTweets_Month1_hiring_Absolute",46.7852184472231,39.805812802471,57.4849991549935,40.6091055813743,5,6,6,7,-7.61142859682617,123.069041795771,2.15602496459714,5.90351620809354,3.70382537569604,5.82720255740229,0,1,1,0,21.8337038007596,93.1719455602384
"5376",5376,"IJC+NumVerifiedTweets_Month1_posting_Absolute+NumVerifiedTweets_Month1_hiring_Absolute",49.4324563295381,44.3649707000049,62.5677770036516,44.3681174422022,5,5,6,7,-9.78057357825454,140.580552931056,4.13842223731127,4.68534118975911,9.51103551156736,6.32859212541992,1,0,1,1,39.8305494366081,46.5129971154294
"5388",5388,"IJC+NumVerifiedTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Month1_posting_AbsoluteDelta",49.3856228951232,41.6457557423519,59.4871377446767,42.3278525644673,5,5,6,7,-24.5336212810055,106.983891989317,2.57942809839532,7.73990408372372,3.58419993720953,8.42863578963777,0,0,1,1,64.5044948093001,96.48575996562
"5403",5403,"IJC+NumVerifiedTweets_Month1_allold_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_allold_AbsoluteDelta+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta",48.6492768794717,41.9559657442222,62.4142811046361,42.6900253013264,5,5.5,6,7,-18.4690793664578,107.667325669824,4.26223580790486,6.46021323316629,7.52448298713407,6.56282846416367,0,1,1,0,36.9807199287194,38.5125310116055
"5409",5409,"IJC+NumVerifiedTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_posting_Absolute+NumVerifiedTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Month1_posting_AbsoluteDelta",48.0722073911185,39.5689251015128,58.140403035607,39.7533179458391,5,5,6,7,-10.6157166957942,88.3769113430362,3.71568277920867,9.03577763111235,4.53784715645472,7.49894556599598,0,0,1,0,57.6304594094842,51.619853100655
