,Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2
87,NumTweets_Week1_opportunity_Absolute+NumTweets_Week1_opening_Absolute+NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,66.80748049,61.28616249,75.45566307,61.29125279,4,2,6,7,-176.6897659,-359.4897659
88,NumTweets_Week1_all_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Week1_opening_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,67.68634297,60.59950367,76.63495946,60.61266417,4,2,6,7,-187.2361156,-370.0361156
89,NumTweets_Week1_allold_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Week1_opening_Absolute+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,66.22011267,59.16432397,74.53701745,59.1643795,4,2,6,7,-169.641352,-352.441352
90,NumTweets_Week1_all_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Week1_opening_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,66.76900507,52.46996881,75.55998778,52.48034425,4,2,6,7,-176.2280609,-359.0280609
91,NumTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute,69.62526536,61.70832702,80.06779155,61.72937275,4,2,6,7,-210.5031843,-393.3031843
92,NumTweets_Month1_allold_Absolute+NumTweets_Week1_allold_Absolute,69.40322632,62.08713108,79.74283195,62.12811524,4,2,6,7,-207.8387158,-390.6387158
93,NumTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Week1_allold_Absolute,68.97212534,61.91241688,78.8377849,61.97841676,4,2,6,7,-202.665504,-385.465504
94,NumTweets_Month1_opportunity_Absolute+NumTweets_Week1_opportunity_Absolute,68.35000591,61.44043002,78.28010967,61.45888258,4,2,6,7,-195.200071,-378.000071
95,NumTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week1_opportunity_Absolute,68.34476736,61.13447881,78.34275783,61.15835544,4,2,6,7,-195.1372083,-377.9372083
96,NumTweets_Month1_allold_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week1_opportunity_Absolute,65.79001849,60.98885756,74.35501069,61.14364083,4,2,6,7,-164.4802219,-347.2802219
97,NumTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week1_opportunity_Absolute,64.15043678,57.62082323,72.7284787,57.77973704,4,2,6,7,-144.8052413,-327.6052413
98,NumTweets_Month1_opening_Absolute+NumTweets_Week1_opening_Absolute,67.10965259,62.83328235,75.64872171,62.83518623,4,2,6,7,-180.315831,-363.115831
99,NumTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week1_opening_Absolute,67.52067508,61.07369998,76.43256234,61.08135696,4,2,6,7,-185.2481009,-368.0481009
100,NumTweets_Month1_allold_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week1_opening_Absolute,65.59599852,57.66880217,74.27709749,57.6766688,4,2,6,7,-162.1519822,-344.9519822
