"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"358","OneMonthBefore_Revised+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute",49.23398279,38.89629776,60.34755845,39.21320771,7,3,9,6,34.19220654,-148.6077935,220.1333464
"360","OneMonthBefore_Revised+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute",44.93387454,26.42789815,59.35423277,26.58202633,7,5,9,7,85.79350547,-97.00649453,233.5639304
"363","OneMonthBefore_Revised+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute",41.3479462,20.51750151,59.05891007,20.91984505,8,5,10,7,128.8246456,-53.9753544,237.0983104
"453","OneMonthBefore_Revised+IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute",46.30803245,43.91884447,60.45411587,43.97134363,9,5,9,6,69.30361055,-113.4963894,241.6029007
"479","OneMonthBefore_Revised+IJC+NumTweets_Week1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Week1_opening_Absolute+NumTweets_Week2_opening_Absolute",46.34509959,38.69093896,60.49681257,38.70255722,9,6,9,7,68.85880493,-113.9411951,269.2952836
"482","OneMonthBefore_Revised+IJC+NumTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta",45.51880235,41.41490548,59.93796773,41.41539629,10,6,10,7,78.7743718,-104.0256282,237.8217167
"490","OneMonthBefore_Revised+IJC+NumTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta",45.37416313,37.20475697,60.11801803,37.65502111,10,6,10,7,80.51004243,-102.2899576,259.3040413
"493","OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_opening_Absolute",46.69286394,41.06906177,60.34557805,41.06939018,9,6,9,7,64.68563272,-118.1143673,250.2374531
"494","OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Month1_opening_Absolute",49.78005576,39.04211955,63.2290999,39.09774792,9,6,9,7,27.63933082,-155.1606692,250.2783335
"495","OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_opportunity_AbsoluteDelta",46.73552102,41.25103333,60.38475924,41.25304554,9,6,9,7,64.17374781,-118.6262522,247.7859562
