Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,47.48380051,27.09743166,63.65697977,27.35417635,7,4,7,6,55.19439394,-127.6056061,262.5606663
OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opening_AbsoluteDelta+NumVerifiedTweets_Week2_opening_AbsoluteDelta,54.32854477,34.19252811,81.49732731,34.20139114,9,6,9,7,-26.94253719,-209.7425372,224.8579891
OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,47.08257445,35.64467947,62.77327421,36.01775957,7,6,8,7,60.00910657,-122.7908934,245.5671093
OneMonthBefore_Revised+IJC+NumTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Month1_all_AbsoluteDelta,53.74574529,53.83751172,64.16552445,53.92580003,6,3,8,5,-19.94894345,-202.7489434,276.9853072
TwoMonthBefore_UnRevised+IJC+NumPopularTweets_Week2_all_AbsoluteDelta,46.36117023,33.28880653,59.14177683,33.48149186,9,6,9,7,68.66595721,-114.1340428,245.8205177
TwoMonthBefore_UnRevised+IJC+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_opening_AbsoluteDelta,45.81484345,30.7931327,59.53414214,30.94328804,8,7,8,8,75.22187856,-107.5781214,234.7941073
TwoMonthBefore_UnRevised+IJC+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,43.07069586,25.80537171,57.52727288,25.86002933,8,6,8,7,108.1516497,-74.64835032,230.8425405
TwoMonthBefore_UnRevised+IJC+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opening_AbsoluteDelta,42.42225922,21.19722167,60.0118876,21.23832273,9,7,9,8,115.9328893,-66.8671107,226.3907236
TwoMonthBefore_UnRevised+IJC+NumVerifiedTweets_Week1_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,61.62265252,34.52294503,86.21523142,34.5979078,6,3,8,6,-114.4718302,-297.2718302,230.8429619
TwoMonthBefore_Revised+IJC+NumTweets_Month1_all_AbsoluteDelta,48.1611189,38.02430966,60.49102613,38.03430448,9,5,9,6,47.06657318,-135.7334268,246.3340798
TwoMonthBefore_Revised+IJC+NumTweets_Week2_all_AbsoluteDelta,47.81094254,37.66925912,60.00193467,37.72645822,8,5,9,6,51.26868946,-131.5313105,246.9271327
TwoMonthBefore_Revised+IJC+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta,47.88962487,37.46269399,60.02957512,37.53010426,8,5,9,6,50.3245016,-132.4754984,248.415918
TwoMonthBefore_Revised+IJC+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opening_AbsoluteDelta,48.64654101,37.76092919,60.56943895,37.76479622,9,5,9,6,41.24150785,-141.5584922,248.0689892
TwoMonthBefore_Revised+IJC+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta,49.80017343,39.63852395,62.68412558,39.68264041,8,5,9,6,27.39791884,-155.4020812,252.2064589
TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Month1_opening_AbsoluteDelta,51.0431311,34.9546454,62.97069497,34.96043389,6,5,7,6,12.4824268,-170.3175732,270.1365021
TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Week1_all_Absolute,48.7005467,29.79069601,61.97457017,29.99971038,8,5,8,6,40.59343966,-142.2065603,249.7021569
TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,43.391553,25.15900787,58.89500895,25.15900827,8,5,8,6,104.301364,-78.498636,237.1954708
TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,46.81201558,36.48375241,63.16159768,36.88772913,7,5,7,6,63.2558131,-119.5441869,252.2303072
TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,46.85619599,31.32759469,60.40638263,31.39121455,7,5,8,6,62.72564817,-120.0743518,209.9652273
TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opening_AbsoluteDelta,44.39337549,22.70692997,66.18065211,22.80807608,8,5,8,6,92.2794941,-90.5205059,246.9846141
TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,47.99255706,31.40392389,64.27639921,31.42618782,7,5,7,6,49.08931524,-133.7106848,237.8748034
TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Week1_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,58.42920265,37.64608558,84.88374645,39.85079216,8,5,9,7,-76.15043175,-258.9504318,237.505171
TwoMonthBefore_Revised+IJC+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,43.98691823,24.90863069,59.36301027,24.91108021,8,5,8,6,97.15698119,-85.64301881,237.7055965
OneMonthBefore_Revised+TwoMonthBefore_Revised+IJC+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute,48.01104973,26.70090443,65.42593342,29.78081764,8,6,8,8,48.86740328,-133.9325967,283.148281
OneMonthBefore_Revised+TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Month1_all_Absolute,46.55082154,31.95466865,61.94687601,33.21568763,8,5,8,6,66.39014152,-116.4098585,246.8553776
OneMonthBefore_Revised+TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_allold_Absolute,46.03900673,25.22485761,63.95795224,25.40255907,8,6,8,7,72.5319192,-110.2680808,276.1946843
OneMonthBefore_Revised+TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,44.79485223,23.77313421,63.94193065,24.21850479,7,6,7,7,87.46177324,-95.33822676,263.7638188
OneMonthBefore_Revised+TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,48.09141085,28.80201434,65.1821529,28.80350562,7,6,7,7,47.90306985,-134.8969301,236.8575753
OneMonthBefore_Revised+TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opening_AbsoluteDelta,44.10882235,18.58444012,65.34016354,18.65454074,7,6,7,7,95.69413185,-87.10586815,258.6469556
OneMonthBefore_Revised+TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Week1_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,58.76483502,40.26301327,83.29809101,40.43206565,7,5,8,7,-80.17802026,-262.9780203,243.2200891
OneMonthBefore_Revised+TwoMonthBefore_Revised+IJC+NumPopularTweets_Month1_allold_AbsoluteDelta+NumVerifiedTweets_Month1_allold_AbsoluteDelta,51.16523702,38.93647943,63.46258703,38.93687688,7,4,7,5,11.01715574,-171.7828443,248.5206714
OneMonthBefore_Revised+TwoMonthBefore_Revised+IJC+NumPopularTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute,50.2106289,31.03269365,67.52025999,31.50555203,8,6,8,7,22.47245314,-160.3275469,255.1844888
OneMonthBefore_Revised+TwoMonthBefore_Revised+IJC+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,44.46593466,27.03065301,60.75477458,28.22419774,7,5,7,6,91.40878413,-91.39121587,242.6236284
