"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2"
"3821",3821,"IJC+NumTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Month1_all_AbsoluteDelta+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",40.5000467455649,39.3047759873319,48.2724698825826,39.8971457076997,7,3,9,7,138.999439053222,-43.8005609467784
"3915",3915,"IJC+NumVerifiedTweets_Month1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute",48.0030510610993,44.5874232107626,59.9205565527236,48.5540117098169,9,6,9,7,48.9633872668082,-133.836612733192
"3958",3958,"IJC+NumVerifiedTweets_Week2_opportunity_Absolute",49.8039189316884,37.804278904094,60.2269369307411,38.6800273094117,8,4,9,7,27.3529728197395,-155.447027180261
"4003",4003,"IJC+NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",45.3106904283831,40.8691633482203,58.4578133565703,40.9340796777786,9,7,9,8,81.2717148594026,-101.528285140597
"4005",4005,"IJC+NumVerifiedTweets_Month1_allold_Absolute+NumVerifiedTweets_Week2_allold_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",45.6799269167384,45.0388887666595,62.3815428938637,45.101688782502,8,7,9,9,76.8408769991395,-105.959123000861
"4011",4011,"IJC+NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Month1_opening_Absolute+NumVerifiedTweets_Week2_opening_Absolute",45.0411021249333,33.7258918250159,59.5834878360961,34.8214218118807,9,7,9,8,84.5067745008006,-98.2932254991994
"4184",4184,"IJC+NumTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute",47.8143267017112,46.4996844422062,59.945095072139,49.6225457213188,9,6,9,7,51.2280795794657,-131.571920420534
"4251",4251,"IJC+NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",38.8656102345857,19.9607972010664,56.0655494768764,19.9746258660754,9,8,9,9,158.612677184972,-24.1873228150279
"4253",4253,"IJC+NumTweets_Month1_allold_Absolute+NumVerifiedTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumVerifiedTweets_Week2_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",42.6979766765264,17.1432711694026,64.9709709234474,17.1932833769039,9,5,10,8,112.624279881683,-70.1757201183169
"4448",4448,"IJC+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute",43.5905040993193,39.3624404664062,54.8777819881127,39.3659340525298,8,4,9,6,101.913950808169,-80.8860491918312
"4451",4451,"IJC+NumPopularTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",41.2326109374616,32.6129693695949,60.7530007264349,32.6524151211332,10,7,10,8,130.208668750461,-52.5913312495388
"4453",4453,"IJC+NumPopularTweets_Month1_allold_Absolute+NumVerifiedTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumVerifiedTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",45.4126913172734,19.8886210263502,71.7858640164703,19.9345765616055,8,6,9,8,80.0477041927192,-102.752295807281
"4482",4482,"IJC+NumPopularTweets_Week1_all_AbsoluteDelta+NumVerifiedTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta",47.1166563845159,47.8523795289694,59.7291708228585,47.9945766842582,8,5,10,8,59.600123385809,-123.199876614191
"4492",4492,"IJC+NumPopularTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute+NumPopularTweets_Week1_all_AbsoluteDelta+NumVerifiedTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta",43.0861918108058,31.9633074019846,61.4495072146388,32.1243493993735,9,7,10,8,107.96569827033,-74.83430172967
"4496",4496,"IJC+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute",43.0272742931767,35.5800298687044,54.8007741545064,35.5862498006587,8,5,9,7,108.67270848188,-74.1272915181201
"4500",4500,"IJC+NumPopularTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumVerifiedTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta",43.2449404732066,35.4522330995564,52.4409624700111,36.186807699745,6,4,10,7,106.060714321521,-76.7392856784793
"4584",4584,"IJC+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute",44.3467414167642,37.7728256164751,55.1117896785978,37.8874709724783,8,4,9,7,92.8391029988298,-89.9608970011703
"4586",4586,"IJC+NumTweets_Month1_opportunity_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",39.6860773816332,22.030745208391,59.7114777019691,22.3446605440965,10,7,10,8,148.767071420402,-34.0329285795985
"4596",4596,"IJC+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumVerifiedTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta",48.1507424702291,49.5116429300527,59.8116076020733,49.5178752025229,7,5,9,8,47.1910903572513,-135.608909642749
"5057",5057,"IJC+Consensus1+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute",48.4337816598728,37.0379536327078,60.4475448014192,37.9659582124401,8,5,9,6,43.7946200815262,-139.005379918474
