#Field:candidate	AggregationKey	Score	AverageScore	NumTweets	NumPositive	NumNegative	NumNeutral	FanCount	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
all old	201401	46172.80255	0.353273164	130700	63954	4507	62239	0	103346	38089	10493	4157
all old	201402	38682.34522	0.335763844	115207	56738	3325	55144	0	88884	33960	9989	4288
all old	201403	58254.11039	0.400743717	145365	73177	4178	68010	0	117720	38740	11260	3402
all old	201404	60343.25696	0.41268812	146220	73544	4349	68327	0	118806	38442	11497	3397
all old	201405	62569.98095	0.436337891	143398	76046	4300	63052	0	115872	37423	10343	3640
all old	201406	79529.63766	0.431433767	184338	93474	4764	86100	0	157338	60190	11413	4652
all old	201407	90110.56728	0.476737652	189015	105350	4271	79394	0	154076	41039	12439	6562
all old	201408	135832.7879	0.531296229	255663	144348	4378	106937	0	225847	39193	12198	4407
all old	201409	143726.2371	0.561823451	255821	145548	5945	104328	0	222630	42691	12577	6303
all old	201410	115077.7487	0.586766139	196122	111980	2944	81198	0	170562	30939	8573	4585
hashtags	201012	-231.5622048	-0.048464254	4778	1154	130	3494	0	4753	1150	24	0
hashtags	201101	-12262.30625	-0.018478126	663612	167050	23864	472698	0	657143	26858	4955	593
hashtags	201102	-18930.49098	-0.022892634	826925	205677	29722	591526	0	817458	31783	6066	2022
hashtags	201103	-5632.716692	-0.040765978	138172	32954	6254	98964	0	134650	13816	1678	952
hashtags	201104	-39926.09999	-0.051649237	773024	182536	32855	557633	0	764399	32398	5322	1845
hashtags	201105	-16301.3424	-0.044969344	362499	86833	12441	263225	0	359713	21410	1899	431
hashtags	201106	-4336.62228	-0.013814243	313924	78614	10289	225021	0	308169	23877	3416	775
hashtags	201107	12798.62569	0.022634928	565437	155212	19284	390941	0	550531	36384	7539	1327
hashtags	201108	-10504.00526	-0.014604271	719242	184001	23871	511370	0	706432	42947	7404	1744
hashtags	201109	-40437.1721	-0.055354259	730516	169672	27136	533708	0	717413	43826	7369	3569
hashtags	201110	-25377.26344	-0.05271007	481450	112320	17832	351298	0	470439	36031	5179	3804
hashtags	201111	-25462.23282	-0.053429452	476558	110330	13894	352334	0	468639	33185	4515	1323
hashtags	201112	26599.98219	0.025214926	1054930	303403	46593	704934	0	1043443	48424	8379	462
hashtags	201201	85580.17971	0.056352058	1518670	465512	81522	971636	0	1371479	69553	22398	2560
hashtags	201202	78110.07628	0.054269867	1439290	421267	61560	956463	0	1310039	65587	26271	3038
hashtags	201203	100438.8026	0.057234196	1754874	497885	109409	1147580	0	1514413	76018	28218	5304
hashtags	201204	92910.38211	0.048684911	1908402	506562	252944	1148896	0	1435573	101929	28406	3355
hashtags	201205	90416.78755	0.020629185	4382955	645971	509225	3227759	0	1486030	95411	33234	4351
hashtags	201206	82817.54792	0.042691592	1939903	837249	69499	1033155	0	1171563	87059	23835	3050
hashtags	201207	107702.5417	0.046908997	2295989	1058771	97936	1139282	0	1367376	116280	29752	3520
hashtags	201208	150525.5281	0.040368541	3728783	1543046	116674	2069063	0	1758477	150116	49663	5498
hashtags	201209	121410.1547	0.022111222	5490884	951819	150310	4388755	0	1451493	130771	55375	4320
hashtags	201210	112272.2608	0.03121985	3596182	1959768	142784	1493630	0	1578845	159216	63700	4446
hashtags	201211	88650.34599	0.016438664	5392795	2079498	356052	2957245	0	1236275	141599	46075	6874
