#Field:candidate	AggregationKey	Score	AverageScore	NumTweets	NumTweetsWeighted	NumPositive	NumNegative	NumNeutral	FanCount	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
all	20110605	126.002476196473	0.0328902313224935	3831	21672.8602173231	1121	121	2589	0	3713	1557	67	8
all	20110606	-416.316284733129	-0.0198624181647485	20960	116775.547562409	5200	760	15000	0	20495	5666	267	39
all	20110607	-428.956314445026	-0.0141280651618808	30362	173306.35976868	7543	1067	21752	0	29733	7124	321	106
all	20110608	391.517476729811	0.0167975577797242	23308	134113.302095837	5890	648	16770	0	22869	5523	266	65
all	20110609	143.061559223219	0.00506090134509759	28268	158865.330130551	7256	846	20166	0	27837	6744	267	72
all	20110610	61.757953182235	0.00501933949790597	12304	69863.2690290306	3158	368	8778	0	12046	4194	144	19
all	20110611	42.4300643925526	0.00471969570551197	8990	51875.3747543683	2519	300	6171	0	8719	2750	80	16
all	20110612	124.101760408818	0.0145267189990423	8543	49799.2253083962	2223	358	5962	0	8381	2715	73	3
all	20110613	106.844279224192	0.0154109734925995	6933	38787.5815883171	1833	244	4856	0	6688	2348	105	58
all	20110614	-40.1971403368172	-0.00447529952536375	8982	51201.9828159059	2270	233	6479	0	8836	3021	85	6
all	20110615	203.973079663708	0.0184340785959067	11065	62207.8992927564	2914	329	7822	0	10843	4247	137	10
all	20110616	-32.6132728706999	-0.00352005103839178	9265	53277.6407478747	2395	317	6553	0	9002	3504	134	66
all	20110617	106.374299300022	0.0135993734722606	7822	44892.7368208597	2066	290	5466	0	7644	3078	101	32
all	20110618	326.471163392111	0.05731586435957	5696	33431.8218347184	1591	198	3907	0	5629	2030	44	3
all	20110619	-168.504338373178	-0.031555119545539	5340	30298.5942807356	1314	211	3815	0	5246	1902	59	6
all	20110620	-413.493793877454	-0.0540514763238502	7650	43327.2139105526	1790	267	5593	0	7486	2716	88	24
all	20110621	-204.019596108138	-0.0171690310618647	11883	68375.5633990324	2969	394	8520	0	11550	4255	189	72
