"MonthId","NumTweets_all","NumPositive_all","NumNegative_all","NumNeutral_all","NumDistinctTweets_all","NumDistinctUsers_all","NumPopularTweets_all","NumVerifiedTweets_all","NumTweets_allold","NumPositive_allold","NumNegative_allold","NumNeutral_allold","NumDistinctTweets_allold","NumDistinctUsers_allold","NumPopularTweets_allold","NumVerifiedTweets_allold","NumTweets_opening","NumPositive_opening","NumNegative_opening","NumNeutral_opening","NumDistinctTweets_opening","NumDistinctUsers_opening","NumPopularTweets_opening","NumVerifiedTweets_opening","NumTweets_posting","NumPositive_posting","NumNegative_posting","NumNeutral_posting","NumDistinctTweets_posting","NumDistinctUsers_posting","NumPopularTweets_posting","NumVerifiedTweets_posting","NumTweets_opportunity","NumPositive_opportunity","NumNegative_opportunity","NumNeutral_opportunity","NumDistinctTweets_opportunity","NumDistinctUsers_opportunity","NumPopularTweets_opportunity","NumVerifiedTweets_opportunity","NumTweets_hiring","NumPositive_hiring","NumNegative_hiring","NumNeutral_hiring","NumDistinctTweets_hiring","NumDistinctUsers_hiring","NumPopularTweets_hiring","NumVerifiedTweets_hiring","NumTweets_hashtags","NumPositive_hashtags","NumNegative_hashtags","NumNeutral_hashtags","NumDistinctTweets_hashtags","NumDistinctUsers_hashtags","NumPopularTweets_hashtags","NumVerifiedTweets_hashtags"
201302,-69982,-13888,-2825,-53269,-76410,-225,8054,7903,-6646,-1559,-436,-4651,-14077,-620,1016,7007,-4240,-990,-81,-3169,-4502,-191,248,96,-2116,-566,-229,-1321,-3656,60,214,1394,-6580,-6060,-152,-368,-7029,-373,290,513,6392,6170,10,212,1015,-362,282,5162,-61565,-10588,-2313,-48664,-69809,239,7405,1370
201303,-18167,-13401,-1191,-3575,-15545,437,5364,-6133,-8321,-4598,669,-4392,-2275,24,533,-7609,-223,-410,-3,190,-287,112,14,-316,-4730,-539,49,-4240,-2939,-227,-7,-1858,-1104,-1806,526,176,-1511,19,596,-497,-2281,-1947,124,-458,2637,140,-79,-5083,-6427,-6115,-1940,1628,-11942,451,4920,860
201304,161959,53871,6784,101304,147730,3492,621,4648,20754,10313,22,10419,16947,2369,528,3083,8527,3108,-6,5425,7186,456,102,1313,1817,1140,369,308,851,207,72,679,8815,7832,-357,1340,8512,696,319,-54,1400,-1821,2,3219,389,1460,17,1112,142322,42536,6815,92971,140643,1627,199,2668
201305,113744,47453,8884,57407,80464,2188,2504,26187,18149,12709,941,4499,16980,1415,482,-181,4409,1430,1298,1681,5233,210,-123,-729,2212,1015,-339,1536,2497,328,-16,-458,8653,8380,-46,319,6808,480,394,942,3067,1958,44,1065,2554,560,246,81,97831,35639,7967,54225,77718,1234,1916,26065
201306,-254884,-99898,-6220,-148766,-213662,-2454,-2029,4101,-43243,-26987,-742,-15514,-44522,-1578,-677,3646,-15488,-6946,-409,-8133,-17498,-45,252,1674,61,2989,-15,-2913,-3584,-449,-2,4086,-26126,-23576,-205,-2345,-23480,-559,-694,-1459,-1867,457,-119,-2205,-248,-783,-258,-644,-211874,-72873,-5496,-133505,-206810,-1365,-1260,34
201307,31217,1087,4095,26035,28441,4347,13254,-5756,-3037,-5479,-982,3424,-9521,3115,3034,-1157,-6020,-1541,-1055,-3424,-5409,330,272,-1079,1825,-981,-53,2859,1882,553,1333,-2159,-4294,-4950,57,599,-7405,1226,568,1352,6427,2883,69,3475,2382,1568,955,867,39279,8681,5101,25497,23619,1997,11529,-4142
201308,148699,38081,7265,103353,86015,895,36945,6832,19005,6238,526,12241,946,130,4972,9092,9119,1279,310,7530,2878,463,1386,4343,-2567,-981,-7,-1579,-1124,-205,329,-1853,4275,2121,75,2079,-1337,-400,1255,3939,8915,4431,144,4340,1017,242,2169,2713,133430,33753,6779,92898,86441,803,32298,-666
201309,108793,34683,1252,72858,77263,-1847,11594,37,12938,5145,119,7674,10984,-1396,82,2116,12727,6191,-109,6645,14702,-557,-124,-1830,-1637,-1039,100,-698,-2391,-149,377,224,-96,-1696,122,1478,-1414,-362,-495,1112,1086,632,19,435,-1134,-681,199,2877,93311,27627,1114,64570,80576,-1143,11723,-3199
201310,80201,38625,5805,35771,84068,-7233,-7028,434,5803,5046,556,201,5394,-3662,-295,2289,7980,4522,233,3225,7446,-460,-108,525,905,640,220,45,770,-377,79,179,-2411,1267,-16,-3662,-87,-1177,-401,-855,-987,-1320,131,202,-2651,-2142,138,2078,74862,33835,5481,35546,87472,-4885,-6688,-1158
201311,-72762,-23219,-5725,-43818,-24223,-1856,-22491,-8923,9001,2941,-401,6461,17907,-383,-2502,-4900,-3136,-2292,278,-1122,-933,569,-329,-1063,11506,3354,-78,8230,13802,-317,-1129,-730,2609,-480,-276,3365,6249,633,-95,-2799,-2086,2224,-332,-3978,-1498,-665,-992,-203,-52052,-13115,-5051,-33886,-20063,-846,-20439,-4281
