candidate	AggregationKey	NumTweets	NumPositive	NumNegative	NumNeutral	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
job opening	201307	29924	8065	252	21607	23411	4762	1703	3013
job opening	201308	39043	9344	562	29137	26289	5225	3089	7356
job opening	201309	51770	15535	453	35782	40991	4668	2965	5526
job opening	201310	59750	20057	686	39007	48437	4208	2857	6051
job opening	201311	56614	17765	964	37885	47504	4777	2528	4988
job opening	201312	59846	20040	1313	38493	49070	4595	2350	6759
job opening	201401	58935	15562	1977	41396	41357	5771	3479	11930
job opening	201402	37603	9523	401	27679	24864	5124	3188	7539
job opening	201403	87269	30585	1635	55049	72720	5788	3593	8403
job opening	201404	113379	42746	3265	67368	97348	5516	3615	9982
job opening	201405	109958	42472	2064	65422	96157	5402	3873	7463
job opening	201406	131874	52501	1841	77532	111188	6997	4089	12971
job opening	201407	150338	63862	1786	84690	128444	5921	5136	13255
job opening	201408	202376	52795	1529	148052	178384	6750	5352	15032
job opening	201409	221757	89574	1419	130764	205479	5594	4796	6884
job opportunity	201012	53	46	3	4	49	11	0	0
job opportunity	201101	7432	6360	40	1032	6401	1335	167	90
job opportunity	201102	6839	5517	48	1274	5877	1358	168	45
job opportunity	201103	994	814	40	140	782	331	44	51
job opportunity	201104	4427	3525	52	850	3664	1098	113	117
job opportunity	201105	2982	2459	15	508	2591	704	38	27
job opportunity	201106	2814	2144	12	658	2224	816	118	130
job opportunity	201107	5017	4039	38	940	4133	1300	175	180
job opportunity	201108	6151	4956	52	1143	5189	1583	208	149
job opportunity	201109	6090	4924	122	1044	5182	1479	160	249
job opportunity	201110	3526	2658	57	811	2736	1155	159	153
job opportunity	201111	2984	2260	39	685	2481	1089	91	53
job opportunity	201112	7476	6193	96	1187	6290	1949	98	242
job opportunity	201201	13741	11512	125	2104	10639	3181	489	790
job opportunity	201202	16614	13720	303	2591	12078	3330	972	777
job opportunity	201203	41222	36267	1135	3820	35942	3402	964	1648
job opportunity	201204	49192	44415	257	4520	43848	3410	1127	1061
job opportunity	201205	55398	50494	705	4199	47865	3662	1336	1186
job opportunity	201206	44415	40638	439	3338	40801	3061	944	847
job opportunity	201207	42235	37412	920	3903	37266	3432	1006	915
job opportunity	201208	16771	13609	246	2916	12675	3610	1289	962
job opportunity	201209	48258	43542	642	4074	41576	3739	1838	1994
job opportunity	201210	49850	44410	392	5048	42446	4101	2008	2342
job opportunity	201211	37321	32994	390	3937	31648	4007	1946	1201
job opportunity	201212	42509	38458	528	3523	38007	3416	1280	1977
job opportunity	201301	52313	47247	559	4507	46400	5223	1385	2590
job opportunity	201302	45733	41187	407	4139	39371	4850	1675	3103
job opportunity	201303	44629	39381	933	4315	37860	4869	2271	2606
job opportunity	201304	53444	47213	576	5655	46372	5565	2590	2552
job opportunity	201305	62097	55593	530	5974	53180	6045	2984	3494
job opportunity	201306	35971	32017	325	3629	29700	5486	2290	2035
job opportunity	201307	31677	27067	382	4228	22295	6712	2858	3387
job opportunity	201308	35952	29188	457	6307	20958	6312	4113	7326
job opportunity	201309	35856	27492	579	7785	19544	5950	3618	8438
job opportunity	201310	33445	28759	563	4123	19457	4773	3217	7583
job opportunity	201311	36054	28279	287	7488	25706	5406	3122	4784
job opportunity	201312	36545	29603	358	6584	26698	4751	2771	5366
job opportunity	201401	45843	38889	880	6074	29435	6749	4290	7040
job opportunity	201402	45371	39868	1032	4471	23928	6261	4103	12407
job opportunity	201403	51002	42766	631	7605	33376	6748	4465	8590
job opportunity	201404	44136	36557	623	6956	27678	6554	4411	7924
job opportunity	201405	45912	39390	655	5867	29054	6620	4705	8635
job opportunity	201406	52723	44607	391	7725	35206	8389	4900	9115
job opportunity	201407	51825	44616	350	6859	35321	6769	4840	7726
job opportunity	201408	130405	120874	880	8651	110057	6973	5018	10865
job opportunity	201409	111083	105433	377	5273	88686	6124	4414	14282
job posting	201012	117	12	0	105	117	79	0	0
job posting	201101	11421	1287	64	10070	10685	1049	215	63
job posting	201102	10639	1343	73	9223	9999	1049	164	60
job posting	201103	1556	167	109	1280	1322	305	27	99
job posting	201104	8320	1061	42	7217	7823	892	81	51
job posting	201105	4318	583	19	3716	4039	588	34	9
job posting	201106	5390	674	34	4682	5041	721	65	72
job posting	201107	11025	1128	48	9849	10435	1124	115	96
job posting	201108	12366	1314	59	10993	11541	1213	138	253
job posting	201109	11334	1080	89	10165	10501	995	109	302
job posting	201110	7122	783	78	6261	6634	762	86	164
job posting	201111	7187	785	36	6366	6893	729	51	51
job posting	201112	18759	2365	111	16283	18159	1188	58	97
job posting	201201	24457	3107	150	21200	23245	1703	235	164
job posting	201202	21962	3580	162	18220	20027	1765	498	270
job posting	201203	20056	3287	205	16564	18637	1784	422	280
job posting	201204	20686	3111	523	17052	18187	1911	491	775
job posting	201205	18907	3768	218	14921	16634	1788	567	682
job posting	201206	16077	2868	169	13040	14223	1593	397	439
job posting	201207	19930	3705	284	15941	16415	2036	550	713
job posting	201208	24205	4037	712	19456	21182	2009	672	964
job posting	201209	27999	5305	265	22429	22199	2038	825	1035
job posting	201210	30593	5277	258	25058	24593	2143	902	1594
job posting	201211	23278	4487	272	18519	19540	2039	876	1330
job posting	201212	20703	4278	402	16023	18788	1812	558	748
job posting	201301	27557	5528	611	21418	24624	2683	755	1338
job posting	201302	25441	4962	382	20097	20968	2743	969	2732
job posting	201303	20711	4423	431	15857	18029	2516	962	874
job posting	201304	22528	5563	800	16165	18880	2723	1034	1553
job posting	201305	24740	6578	461	17701	21377	3051	1018	1095
job posting	201306	24801	9567	446	14788	17793	2602	1016	5181
job posting	201307	26626	8586	393	17647	19675	3155	2349	3022
job posting	201308	24059	7605	386	16068	18551	2950	2678	1169
job posting	201309	22422	6566	486	15370	16160	2801	3055	1393
job posting	201310	23327	7206	706	15415	16930	2424	3134	1572
job posting	201311	34833	10560	628	23645	30732	2107	2005	842
job posting	201312	19198	5974	442	12782	15606	1866	1603	1102
job posting	201401	26833	8123	426	18284	20893	2621	2418	1335
job posting	201402	34251	9104	579	24568	26752	2633	2385	2107
job posting	201403	47709	13643	738	33328	41767	2568	2655	1258
job posting	201404	19208	4852	657	13699	12771	2751	2434	2242
job posting	201405	20526	5379	1262	13885	12575	2800	2310	3997
job posting	201406	20767	5348	1040	14379	13921	3474	2216	2406
job posting	201407	20955	5020	814	15121	14602	2735	2258	2338
job posting	201408	23990	6106	522	17362	18321	2732	2417	1755
job posting	201409	20466	5812	422	14232	14956	2283	1904	1250
we are hiring	201012	11	8	0	3	10	4	0	0
we are hiring	201101	4013	1527	26	2460	2558	1471	362	399
we are hiring	201102	4987	1890	41	3056	3381	1702	429	370
we are hiring	201103	951	514	3	434	471	345	103	249
we are hiring	201104	3529	1490	54	1985	2271	1376	302	288
we are hiring	201105	1858	812	12	1034	1253	840	147	136
we are hiring	201106	2617	1048	35	1534	1386	1010	272	289
we are hiring	201107	4413	1502	26	2885	2412	1605	396	659
we are hiring	201108	4824	1926	213	2685	2859	1987	508	739
we are hiring	201109	5393	2072	29	3292	2456	1733	486	1526
we are hiring	201110	3806	1839	24	1943	1880	1328	378	1102
we are hiring	201111	2324	1000	29	1295	1704	1159	171	202
we are hiring	201112	3624	1841	63	1720	3134	1874	146	79
we are hiring	201201	13918	5490	479	7949	6513	3755	926	2509
we are hiring	201202	15684	7155	198	8331	7494	4219	1782	1484
we are hiring	201203	15224	6917	307	8000	7571	4411	1583	1547
we are hiring	201204	17221	7672	231	9318	7313	4435	1923	1932
we are hiring	201205	18817	9213	462	9142	7626	4698	2280	2348
we are hiring	201206	14126	7280	243	6603	6724	3909	1637	1265
we are hiring	201207	17160	9375	169	7616	7776	4453	1857	2319
we are hiring	201208	24405	11710	462	12233	10287	5572	2793	4244
we are hiring	201209	24794	10519	279	13996	9714	5120	2720	4821
we are hiring	201210	25105	11075	300	13730	10994	5538	3141	4366
we are hiring	201211	41483	30172	269	11042	10134	5205	2790	3203
we are hiring	201212	14833	7181	161	7491	8349	4220	1573	2773
we are hiring	201301	22041	11187	233	10621	13104	7237	2452	4246
we are hiring	201302	28433	17357	243	10833	14119	6875	2734	9408
we are hiring	201303	26152	15410	367	10375	16756	7015	2655	4325
we are hiring	201304	27552	13589	369	13594	17145	8475	2672	5437
we are hiring	201305	30619	15547	413	14659	19699	9035	2918	5518
we are hiring	201306	28752	16004	294	12454	19451	8252	2660	4874
we are hiring	201307	35179	18887	363	15929	21833	9820	3615	5741
we are hiring	201308	44094	23318	507	20269	22850	10062	5784	8454
we are hiring	201309	45180	23950	526	20704	21716	9381	5983	11331
we are hiring	201310	44193	22630	657	20906	19065	7239	6121	13409
we are hiring	201311	42107	24854	325	16928	17567	6574	5129	13206
we are hiring	201312	30862	17367	265	13230	15447	5444	4450	6433
we are hiring	201401	58668	33397	658	24613	22484	8955	8069	16293
we are hiring	201402	50916	28744	465	21707	20500	8494	7421	12781
we are hiring	201403	56740	31521	1316	23903	21781	9366	8412	15953
we are hiring	201404	53324	28036	678	24610	21334	9644	8322	10909
we are hiring	201405	64350	37440	736	26174	31359	9378	8427	15218
we are hiring	201406	79318	44315	1029	33974	47219	12878	8909	14280
we are hiring	201407	133208	82211	1416	49581	85028	10478	11227	22593
we are hiring	201408	256396	167619	2659	86118	219716	10797	12070	13395
we are hiring	201409	107979	67569	1267	39143	80143	7929	7872	13413
