candidate	AggregationKey	NumTweets	NumPositive	NumNegative	NumNeutral	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
job posting	201311	842	245	0	597	86	42	136	842
job posting	201312	1102	476	12	614	104	41	225	1102
job posting	201401	1335	461	12	862	99	48	191	1335
job posting	201402	2107	683	105	1319	132	70	318	2107
job posting	201403	1258	365	42	851	117	48	264	1258
job posting	201404	2242	521	153	1568	125	67	348	2242
job posting	201405	3997	1123	711	2163	148	85	378	3997
job posting	201406	2406	633	42	1731	122	72	293	2406
job posting	201407	2338	339	348	1651	133	60	290	2338
job posting	201408	1755	477	177	1101	114	76	299	1755
job posting	201409	1250	488	54	708	108	60	245	1250
we are hiring	201101	399	74	0	325	17	14	32	399
we are hiring	201102	370	123	6	241	54	21	38	370
we are hiring	201103	249	233	0	16	5	5	13	249
we are hiring	201104	288	201	0	87	15	13	15	288
we are hiring	201105	136	96	0	40	16	13	21	136
we are hiring	201106	289	55	3	231	18	14	24	289
we are hiring	201107	659	68	0	591	38	26	61	659
we are hiring	201108	739	160	180	399	49	37	70	739
we are hiring	201109	1526	142	0	1384	44	32	94	1526
we are hiring	201110	1102	639	3	460	48	37	88	1102
we are hiring	201111	202	82	3	117	35	23	23	202
we are hiring	201112	79	48	3	28	25	21	0	79
we are hiring	201201	2509	672	72	1765	92	65	96	2509
we are hiring	201202	1484	1013	12	459	109	61	170	1484
we are hiring	201203	1547	736	9	802	117	78	174	1547
we are hiring	201204	1932	957	3	972	118	86	202	1932
we are hiring	201205	2348	1223	9	1116	148	90	241	2348
we are hiring	201206	1265	736	84	445	141	76	135	1265
we are hiring	201207	2319	1775	15	529	196	85	213	2319
we are hiring	201208	4244	2517	60	1667	350	122	410	4244
we are hiring	201209	4821	1587	18	3216	317	120	411	4821
we are hiring	201210	4366	1930	40	2396	427	150	520	4366
we are hiring	201211	3203	1672	99	1432	320	142	463	3203
we are hiring	201212	2773	1264	3	1506	290	116	340	2773
we are hiring	201301	4246	1919	15	2312	391	199	547	4246
we are hiring	201302	9408	6684	103	2621	405	196	654	9408
we are hiring	201303	4325	2180	102	2043	345	172	490	4325
we are hiring	201304	5437	2142	28	3267	434	196	489	5437
we are hiring	201305	5518	2520	84	2914	530	205	592	5518
we are hiring	201306	4874	2950	7	1917	530	215	585	4874
we are hiring	201307	5741	2809	20	2912	517	248	617	5741
we are hiring	201308	8454	4357	31	4066	522	254	846	8454
we are hiring	201309	11331	5383	163	5785	531	250	1027	11331
we are hiring	201310	13409	5479	265	7665	606	224	1356	13409
we are hiring	201311	13206	9162	21	4023	554	190	953	13206
we are hiring	201312	6433	3391	38	3004	454	152	933	6433
we are hiring	201401	16293	9434	42	6817	626	261	1494	16293
we are hiring	201402	12781	7314	42	5425	570	275	1283	12781
we are hiring	201403	15953	8232	794	6927	757	301	1671	15953
we are hiring	201404	10909	4444	45	6420	624	267	1400	10909
we are hiring	201405	15218	8899	60	6259	743	267	1547	15218
we are hiring	201406	14280	7393	255	6632	814	356	1489	14280
we are hiring	201407	22593	14916	145	7532	826	318	1950	22593
we are hiring	201408	13395	7318	89	5988	754	304	1667	13395
we are hiring	201409	13413	6810	121	6482	728	310	1695	13413
