"MonthId","DeltaNFP","NumTweets_all","NumPositive_all","NumNegative_all","NumNeutral_all","NumDistinctTweets_all","NumDistinctUsers_all","NumPopularTweets_all","NumVerifiedTweets_all","NumTweets_allold","NumPositive_allold","NumNegative_allold","NumNeutral_allold","NumDistinctTweets_allold","NumDistinctUsers_allold","NumPopularTweets_allold","NumVerifiedTweets_allold","NumTweets_opening","NumPositive_opening","NumNegative_opening","NumNeutral_opening","NumDistinctTweets_opening","NumDistinctUsers_opening","NumPopularTweets_opening","NumVerifiedTweets_opening","NumTweets_posting","NumPositive_posting","NumNegative_posting","NumNeutral_posting","NumDistinctTweets_posting","NumDistinctUsers_posting","NumPopularTweets_posting","NumVerifiedTweets_posting","NumTweets_opportunity","NumPositive_opportunity","NumNegative_opportunity","NumNeutral_opportunity","NumDistinctTweets_opportunity","NumDistinctUsers_opportunity","NumPopularTweets_opportunity","NumVerifiedTweets_opportunity","NumTweets_hiring","NumPositive_hiring","NumNegative_hiring","NumNeutral_hiring","NumDistinctTweets_hiring","NumDistinctUsers_hiring","NumPopularTweets_hiring","NumVerifiedTweets_hiring","NumTweets_hashtags","NumPositive_hashtags","NumNegative_hashtags","NumNeutral_hashtags","NumDistinctTweets_hashtags","NumDistinctUsers_hashtags","NumPopularTweets_hashtags","NumVerifiedTweets_hashtags"
201302,79,7903,5948,544,1411,146,55,677,7903,7007,5239,-119,1887,45,-22,413,7007,96,74,54,-32,23,-11,155,96,1394,-78,-243,1715,27,11,118,1394,513,573,-18,-42,-20,-28,65,513,5162,4765,88,309,14,-3,107,5162,1370,1111,712,-453,134,48,367,1370
201303,-148,-6133,-5206,-399,-528,665,-39,-208,-6133,-7609,-5134,-104,-2371,-79,-15,-309,-7609,-316,-222,-40,-54,12,8,-36,-316,-1858,-207,-12,-1639,-79,-12,-202,-1858,-497,-296,-51,-150,34,14,66,-497,-5083,-4504,-1,-578,-60,-24,-164,-5083,860,-522,-351,1733,715,-23,13,860
201304,77,4648,712,775,3161,905,70,256,4648,3083,127,313,2643,172,41,181,3083,1313,366,-75,1022,47,41,76,1313,679,152,321,206,49,2,120,679,-54,-353,141,158,-1,-10,-23,-54,1112,-38,-74,1224,89,24,-1,1112,2668,1312,457,899,879,51,197,2668
201305,10,26187,15244,80,10863,13099,82,292,26187,-181,1731,-300,-1612,159,39,-216,-181,-729,154,82,-965,43,-12,-80,-729,-458,20,-309,-169,18,13,-81,-458,942,1191,-129,-120,-5,24,-158,942,81,378,56,-353,96,9,103,81,26065,13091,400,12574,12950,51,475,26065
201306,20,4101,3167,381,553,146,39,524,4101,3646,3235,177,234,-30,24,242,3646,1674,9,182,1483,-18,11,190,1674,4086,4267,60,-241,-38,-4,-18,4086,-1459,-1467,12,-4,24,4,77,-1459,-644,430,-77,-997,0,10,-7,-644,34,-90,175,-51,129,19,196,34
201307,-33,-5756,-5992,1366,-1130,-5355,53,-7,-5756,-1157,-1986,-227,1056,44,58,22,-1157,-1079,555,-255,-1379,-1,-2,-153,-1079,-2159,-2764,-60,665,12,8,21,-2159,1352,489,75,788,52,38,133,1352,867,-141,13,995,-13,33,32,867,-4142,-3611,1594,-2125,-5422,5,52,-4142
201308,7,6832,-441,-225,7498,-2974,86,2511,6832,9092,2451,176,6465,20,8,1186,9092,4343,82,205,4056,25,18,348,4343,-1853,-1580,-15,-258,-24,-12,30,-1853,3939,2312,-25,1652,27,-13,580,3939,2713,1548,11,1154,5,6,229,2713,-666,-1930,-393,1657,-2946,79,1543,-666
201309,-21,37,-126,-973,1136,-190,-72,-186,37,2116,538,-26,1604,-35,-34,-160,2116,-1830,-129,-202,-1499,-41,-27,-100,-1830,224,198,-26,52,37,20,63,224,1112,-466,82,1496,-35,-14,-297,1112,2877,1026,132,1719,9,-4,181,2877,-3199,-1589,-931,-679,-240,-59,-115,-3199
201310,56,434,1545,888,-1999,108,-144,-231,434,2289,2085,231,-27,20,-54,242,2289,525,255,81,189,-7,-16,12,525,179,-156,-11,346,-19,-21,-56,179,-855,1868,47,-2770,-36,-12,-46,-855,2078,96,102,1880,75,-26,329,2078,-1158,-521,648,-1285,166,-123,-377,-1158
201311,-1,-8923,-641,-1295,-6987,-786,-21,-681,-8923,-4900,570,-353,-5117,-27,-7,-336,-4900,-1063,-486,78,-655,27,36,121,-1063,-730,-28,-26,-676,-22,-7,-75,-730,-2799,-2554,-161,-84,30,7,43,-2799,-203,3683,-244,-3642,-52,-34,-403,-203,-4281,-916,-953,-2412,-715,-14,-433,-4281
201312,-129,-4155,-4409,512,-258,-764,-82,534,-4155,-3946,-4652,380,326,-105,-58,276,-3946,1771,471,297,1003,-6,-23,3,1771,260,231,12,17,18,-1,89,260,582,255,54,273,-17,-20,170,582,-6773,-5771,17,-1019,-100,-38,-20,-6773,-1070,-286,128,-912,-745,-41,317,-1070
201401,39,25376,12105,1681,11590,927,262,1847,25376,16754,7413,1159,8182,419,184,1072,16754,5171,556,795,3820,149,43,463,5171,233,-15,0,248,-5,7,-34,233,1674,1021,360,293,105,51,94,1674,9860,6043,4,3813,172,109,561,9860,10466,6026,526,3914,582,132,919,10466
201402,62,-1724,2598,-226,-4096,-22,-5,-211,-1724,-2193,3600,-965,-4828,-98,20,-247,-2193,-4391,-21,-1259,-3111,-39,-3,-76,-4391,772,222,93,457,33,22,127,772,5367,5649,201,-483,-27,-1,-25,5367,-3512,-2120,0,-1392,-56,14,-211,-3512,-40,-1433,731,662,13,-44,-73,-40
201403,17,293,-4538,115,4716,1519,30,2048,293,-298,-4500,871,3331,178,33,371,-298,864,-169,671,362,30,28,-23,864,-849,-318,-63,-468,-15,-22,-54,-849,-3817,-5137,-489,1809,-9,1,21,-3817,3172,918,752,1502,187,26,388,3172,1306,44,-608,1870,1439,2,1821,1306
201404,96,-10866,-5224,-317,-5325,-3726,-5,-2352,-10866,-2994,-2834,502,-662,-152,-47,-425,-2994,1579,968,1227,-616,-32,-23,-219,1579,984,156,111,717,8,19,84,984,-666,-189,-87,-390,-22,-20,-26,-666,-5044,-3788,-749,-507,-133,-34,-271,-5044,-8570,-2643,-914,-5013,-3575,51,-1841,-8570
