Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
IJC+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Week2_opening_Absolute,44.96831596,33.84827406,57.71861491,33.87682236,9,6,9,7,85.38020847,-97.41979153,246.57421
IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Week2_opening_Absolute,44.86195088,34.08402104,57.68533542,34.08483832,9,6,9,7,86.65658946,-96.14341054,240.4864413
IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_all_AbsoluteDelta,45.92239997,35.46379196,58.05455111,35.55905062,9,6,9,7,73.93120041,-108.8687996,236.9607219
IJC+NumTweets_Week2_allold_Absolute+NumTweets_Week2_allold_AbsoluteDelta,45.93722836,36.1083908,58.24861368,36.14303685,9,6,9,7,73.75325967,-109.0467403,243.3028783
IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta,44.48381254,29.96739751,58.12195747,30.00586221,9,6,9,7,91.19424947,-91.60575053,251.0674739
IJC+NumTweets_Week2_opportunity_Absolute+NumTweets_Week2_opportunity_AbsoluteDelta,45.30242741,33.83772028,57.9747589,33.83880462,9,6,9,7,81.37087106,-101.4291289,243.200712
IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta,45.00862457,32.54890379,57.8979576,32.55467463,9,6,9,7,84.89650512,-97.90349488,239.5957827
IJC+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Week2_allold_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta,45.52994441,34.43006212,58.11754191,34.43362581,9,6,9,7,78.64066705,-104.1593329,242.0749171
IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta,44.29821565,29.49721571,58.0681513,29.50344704,9,6,9,7,93.42141226,-89.37858774,248.2251376
IJC+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opening_Absolute+NumTweets_Week2_allold_AbsoluteDelta+NumTweets_Week2_opening_AbsoluteDelta,44.93949757,35.15177847,57.9520464,35.20229112,9,6,9,7,85.72602915,-97.07397085,245.6834028
IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opening_Absolute+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta+NumTweets_Week2_opening_AbsoluteDelta,45.37109214,37.34859588,58.26207061,37.68912319,9,6,9,7,80.54689427,-102.2531057,236.4238095
