Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta,47.27058561,43.00959612,61.18927879,43.13044391,9,5,9,6,57.75297263,-125.0470274,257.939513
OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Week2_opportunity_Absolute,48.5072076,38.2549217,60.75470931,38.78303896,6,5,7,7,42.91350883,-139.8864912,227.0162995
OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week2_opening_Absolute,52.46484151,31.54765498,64.84402938,32.44401862,7,4,8,7,-4.57809808,-187.3780981,241.7804029
OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Week2_opening_Absolute,48.74019461,31.47677197,64.37981702,31.82173941,8,5,8,7,40.11766473,-142.6823353,280.1788961
OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Week2_opening_Absolute,51.55651955,33.60205789,67.07649042,33.69506946,6,4,7,7,6.321765438,-176.4782346,271.8472231
OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta,48.31044636,40.07022538,61.72727155,40.26932126,7,6,8,7,45.27464366,-137.5253563,252.9084276
OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_opening_AbsoluteDelta,45.06289289,37.39656368,60.61026425,37.40817681,9,6,9,7,84.24528527,-98.55471473,235.8008789
OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,48.83433451,32.68603772,63.19917989,32.74839517,8,4,9,7,38.98798587,-143.8120141,249.1862829
OneMonthBefore_Revised+IJC+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute,47.62524946,42.84300037,60.50676293,45.65061582,8,4,9,6,53.4970065,-129.3029935,266.8570209
OneMonthBefore_Revised+IJC+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta,44.42724226,39.09771428,56.12130819,39.13920925,7,5,10,8,91.87309284,-90.92690716,280.2949149
OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta,41.84496127,26.45392169,51.65388414,26.59022051,7,3,10,6,122.8604647,-59.93953527,299.0310185
OneMonthBefore_Revised+IJC+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute,49.00389081,32.41406268,61.71925202,32.46580222,6,5,6,7,36.95331023,-145.8466898,266.9424132
OneMonthBefore_Revised+IJC+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta,46.47288579,44.01860627,60.34987568,44.18375298,9,5,9,6,67.32537047,-115.4746295,256.3614706
OneMonthBefore_Revised+IJC+NumTweets_Week1_allold_AbsoluteDelta+NumPopularTweets_Week1_allold_AbsoluteDelta,49.21035566,45.19334593,62.09206758,45.19515745,7,6,7,7,34.47573211,-148.3242679,247.9822485
