"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"10628",10628,"OneMonthBefore_Revised+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute",44.6355994186561,24.4634516728097,62.5027290108399,24.4869018400803,8,6,9,8,89.3728069761267,-93.4271930238734,270.853406535806
"10898",10898,"OneMonthBefore_Revised+IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta",44.628086493274,34.6787534417375,59.6040547060628,34.6932923837737,10,6,10,7,89.4629620807122,-93.3370379192878,251.512536238729
"11199",11199,"OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",44.858695786235,24.110600538176,61.8938961009843,24.1199333557369,9,7,9,8,86.6956505651799,-96.1043494348201,309.108572628826
"11646",11646,"OneMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opening_AbsoluteDelta",43.3773106376651,30.2779829402295,59.2657375047034,30.2883235795504,9,7,9,8,104.472272348018,-78.3277276519816,227.653864386766
"11916",11916,"OneMonthBefore_Revised+IJC+NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",42.9258652744716,25.1405097458408,57.6399629107799,25.1425156364266,10,7,10,8,109.889616706341,-72.9103832936594,222.533834727255
"11918",11918,"OneMonthBefore_Revised+IJC+NumTweets_Month1_allold_Absolute+NumVerifiedTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumVerifiedTweets_Week2_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",42.81109203967,24.381198350702,64.7752791067007,24.4091456289843,9,7,10,8,111.26689552396,-71.5331044760402,192.116732410138
"12091",12091,"OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",43.0237875285926,34.813765700425,58.3957406845875,34.8320062972252,9,6,9,7,108.714549656889,-74.0854503431113,237.524354142294
"12238",12238,"OneMonthBefore_Revised+IJC+NumTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",42.9630655104637,32.6192670608713,58.4922229532729,32.6233571671651,8,6,9,7,109.443213874436,-73.3567861255639,239.01058897546
"12249",12249,"OneMonthBefore_Revised+IJC+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute",41.8898773038373,23.1490797940426,57.6037418167379,23.1601152511581,9,6,9,7,122.321472353952,-60.4785276460482,229.438045294007
"13694",13694,"OneMonthBefore_Revised+DeltaIJC+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute",44.8242092001644,21.9847709573149,62.384326803361,22.1766987838311,8,6,9,8,87.1094895980274,-95.6905104019726,273.355626169712
