"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"2624","OneMonthBefore+TwoMonthBefore+NumTweets_Month1_hashtags_LogDelta+NumDistinctUsers_Month1_hashtags_LogDelta","47.2322903031734","35.7459107629243","63.3408892997024","35.8596766380391","5","6","7","9","123","137.2","181.527382738274"
"2625","OneMonthBefore+TwoMonthBefore+NumTweets_Month1_hashtags_Log+NumDistinctUsers_Month1_hashtags_Log+NumTweets_Month1_hashtags_LogDelta+NumDistinctUsers_Month1_hashtags_LogDelta","45.0169498976539","30.5801108309982","61.4208185722681","30.7348534356213","5","7","7","9","123","179.6","183.860588505023"
"2626","OneMonthBefore+TwoMonthBefore+NumTweets_Month2_hashtags_Log+NumDistinctUsers_Month2_hashtags_Log","46.3587320529593","34.2213112134818","62.884194773362","34.2235594959203","5","6","7","9","123","137.2","182.711600328706"
"2627","OneMonthBefore+TwoMonthBefore+NumTweets_Month2_hashtags_LogDelta+NumDistinctUsers_Month2_hashtags_LogDelta","46.3474745912468","29.5925806140909","64.5224534572438","29.6402536647265","5","6","7","9","123","163.2","178.455700858035"
"2628","OneMonthBefore+TwoMonthBefore+NumTweets_Month2_hashtags_Log+NumDistinctUsers_Month2_hashtags_Log+NumTweets_Month2_hashtags_LogDelta+NumDistinctUsers_Month2_hashtags_LogDelta","42.1452274505098","20.8068895562099","62.3257181884746","20.8888398531562","7","6","8","8","198","161.6","182.067642328507"
"2629","OneMonthBefore+TwoMonthBefore+NumTweets_Month1_hashtags_Log+NumDistinctUsers_Month1_hashtags_Log+NumTweets_Month2_hashtags_Log+NumDistinctUsers_Month2_hashtags_Log","44.730176321389","29.8478615059541","61.2734526043965","30.0196004222576","5","7","7","9","123","179.6","183.335942449845"
"2630","OneMonthBefore+TwoMonthBefore+NumTweets_Month1_hashtags_LogDelta+NumDistinctUsers_Month1_hashtags_LogDelta+NumTweets_Month2_hashtags_LogDelta+NumDistinctUsers_Month2_hashtags_LogDelta","46.6839501526715","30.143861499628","64.9539716936966","30.2517350149745","5","6","7","9","123","163.2","178.164870799"
"2631","OneMonthBefore+TwoMonthBefore+NumTweets_Month1_hashtags_Log+NumDistinctUsers_Month1_hashtags_Log+NumTweets_Month2_hashtags_Log+NumDistinctUsers_Month2_hashtags_Log+NumTweets_Month1_hashtags_LogDelta+NumDistinctUsers_Month1_hashtags_LogDelta+NumTweets_Month2_hashtags_LogDelta+NumDistinctUsers_Month2_hashtags_LogDelta","45.4254489942246","13.7210704461046","68.1809263484581","13.7854825818663","7","5","8","8","198","-53","184.114388423719"
"2632","OneMonthBefore+TwoMonthBefore+NumTweets_Week1_hashtags_Log+NumDistinctUsers_Week1_hashtags_Log","46.2077343621345","32.0356164740518","63.044089535454","32.0599693594132","5","6","7","9","123","137.2","180.18414979809"
"2633","OneMonthBefore+TwoMonthBefore+NumTweets_Week1_hashtags_LogDelta+NumDistinctUsers_Week1_hashtags_LogDelta","47.2100125808503","34.9275136795515","63.6486756559148","34.9680911625517","5","6","7","9","123","137.2","180.314801451596"
"2634","OneMonthBefore+TwoMonthBefore+NumTweets_Week1_hashtags_Log+NumDistinctUsers_Week1_hashtags_Log+NumTweets_Week1_hashtags_LogDelta+NumDistinctUsers_Week1_hashtags_LogDelta","46.384884054103","32.0312484326919","63.5829069732521","32.0467686309563","5","6","7","9","123","137.2","177.132574070952"
"2635","OneMonthBefore+TwoMonthBefore+NumTweets_Month1_hashtags_Log+NumDistinctUsers_Month1_hashtags_Log+NumTweets_Week1_hashtags_Log+NumDistinctUsers_Week1_hashtags_Log","45.5980472328256","29.8930241428616","60.6162528247408","29.8944637196174","6","6","7","8","145","163.2","188.79686624479"
"2636","OneMonthBefore+TwoMonthBefore+NumTweets_Month1_hashtags_LogDelta+NumDistinctUsers_Month1_hashtags_LogDelta+NumTweets_Week1_hashtags_LogDelta+NumDistinctUsers_Week1_hashtags_LogDelta","47.0576720585793","36.9999002380726","62.8461157555255","37.1698722641094","5","7","7","9","123","179.6","187.510219012218"
"2637","OneMonthBefore+TwoMonthBefore+NumTweets_Month1_hashtags_Log+NumDistinctUsers_Month1_hashtags_Log+NumTweets_Week1_hashtags_Log+NumDistinctUsers_Week1_hashtags_Log+NumTweets_Month1_hashtags_LogDelta+NumDistinctUsers_Month1_hashtags_LogDelta+NumTweets_Week1_hashtags_LogDelta+NumDistinctUsers_Week1_hashtags_LogDelta","48.2692570768311","36.1898427193314","62.1411862588043","36.194748829206","7","4","8","8","198","61.4","189.907754530242"
"2638","OneMonthBefore+TwoMonthBefore+NumTweets_Month2_hashtags_Log+NumDistinctUsers_Month2_hashtags_Log+NumTweets_Week1_hashtags_Log+NumDistinctUsers_Week1_hashtags_Log","45.8219641612809","31.464582363541","62.8207028084945","31.4789428136476","5","6","7","9","123","137.2","180.736816811162"
"2639","OneMonthBefore+TwoMonthBefore+NumTweets_Month2_hashtags_LogDelta+NumDistinctUsers_Month2_hashtags_LogDelta+NumTweets_Week1_hashtags_LogDelta+NumDistinctUsers_Week1_hashtags_LogDelta","45.7825540888585","29.0141914508429","64.6604635386297","29.3262112318331","6","6","7","9","145","163.2","181.869557772343"
"2640","OneMonthBefore+TwoMonthBefore+NumTweets_Month2_hashtags_Log+NumDistinctUsers_Month2_hashtags_Log+NumTweets_Week1_hashtags_Log+NumDistinctUsers_Week1_hashtags_Log+NumTweets_Month2_hashtags_LogDelta+NumDistinctUsers_Month2_hashtags_LogDelta+NumTweets_Week1_hashtags_LogDelta+NumDistinctUsers_Week1_hashtags_LogDelta","43.0737012223445","18.6199333045976","64.0960773239027","18.6480796271574","8","7","9","9","234","179.6","178.892591434742"
"2641","OneMonthBefore+TwoMonthBefore+NumTweets_Week2_hashtags_Log+NumDistinctUsers_Week2_hashtags_Log","46.3006610639049","33.9484755385676","62.9975363897005","33.9777736020135","5","6","7","9","123","137.2","180.422848539274"
"2642","OneMonthBefore+TwoMonthBefore+NumTweets_Week2_hashtags_LogDelta+NumDistinctUsers_Week2_hashtags_LogDelta","47.5233110794882","35.9615133499795","64.0224727932104","36.0038508710404","5","6","7","9","123","137.2","180.513449352592"
"2643","OneMonthBefore+TwoMonthBefore+NumTweets_Week2_hashtags_Log+NumDistinctUsers_Week2_hashtags_Log+NumTweets_Week2_hashtags_LogDelta+NumDistinctUsers_Week2_hashtags_LogDelta","46.8014243130488","34.330692551566","63.5576448899657","34.3854322571849","5","6","7","9","123","137.2","180.155113808135"
"2644","OneMonthBefore+TwoMonthBefore+NumTweets_Month1_hashtags_Log+NumDistinctUsers_Month1_hashtags_Log+NumTweets_Week2_hashtags_Log+NumDistinctUsers_Week2_hashtags_Log","43.3416845699732","29.9137965695469","57.9444795734552","29.9480285904364","6","6","7","8","145","163.2","195.366461247695"
"2645","OneMonthBefore+TwoMonthBefore+NumTweets_Month1_hashtags_LogDelta+NumDistinctUsers_Month1_hashtags_LogDelta+NumTweets_Week2_hashtags_LogDelta+NumDistinctUsers_Week2_hashtags_LogDelta","44.4163735699052","36.9503755210828","58.4098402095496","37.2997283620077","5","5","7","8","123","77.8","198.864631307039"
"2646","OneMonthBefore+TwoMonthBefore+NumTweets_Month1_hashtags_Log+NumDistinctUsers_Month1_hashtags_Log+NumTweets_Week2_hashtags_Log+NumDistinctUsers_Week2_hashtags_Log+NumTweets_Month1_hashtags_LogDelta+NumDistinctUsers_Month1_hashtags_LogDelta+NumTweets_Week2_hashtags_LogDelta+NumDistinctUsers_Week2_hashtags_LogDelta","42.2109377549072","35.2674426820074","54.2846406250361","35.2735330936501","6","6","7","8","145","163.2","213.071970630018"
"2647","OneMonthBefore+TwoMonthBefore+NumTweets_Month2_hashtags_Log+NumDistinctUsers_Month2_hashtags_Log+NumTweets_Week2_hashtags_Log+NumDistinctUsers_Week2_hashtags_Log","46.2200825595896","33.2292167950726","62.886376833238","33.2511868276982","5","7","7","9","123","179.6","180.40502787253"
"2648","OneMonthBefore+TwoMonthBefore+NumTweets_Month2_hashtags_LogDelta+NumDistinctUsers_Month2_hashtags_LogDelta+NumTweets_Week2_hashtags_LogDelta+NumDistinctUsers_Week2_hashtags_LogDelta","45.5231158433278","29.0850558689655","64.37026040808","29.3980670504977","5","6","7","9","123","163.2","181.049125130677"
